  Equal Weight Returns -- Monthly,,,
Dates,Hi 30,Hi 20,Hi 10
196903,2.27,2.3,1.92
196904,0.58,0.92,0.13
196905,0.16,0.08,-0.42
196906,-10.72,-10.93,-10.58
196907,-7.76,-8.03,-8.34
196908,3.16,3.15,2.64
196909,-2.78,-2.82,-2.16
196910,7.09,6.51,6.53
196911,-6.18,-6.01,-6.15
196912,-6.92,-7.3,-8.18
197001,-2.14,-1.5,0.03
197002,5.96,5.84,5.02
197003,-0.17,-0.09,-0.68
197004,-11,-11.18,-11.22
197005,-8.37,-8.97,-9.95
197006,-7.1,-7.15,-7.01
197007,5.6,5.25,4.3
197008,6.52,6.04,6.32
197009,10.82,11.58,11.87
197010,-5.46,-5.27,-5.5
197011,0.88,0.07,0.19
197012,9.59,9.19,9.07
197101,15.08,15.88,16.29
197102,4.15,4.51,4.66
197103,4.92,5.05,5.42
197104,2.88,3.54,4.42
197105,-5.24,-5.56,-6.25
197106,-2.84,-2.8,-3.24
197107,-5.68,-5.66,-5.71
197108,5.45,5.64,6.52
197109,-1.56,-1.66,-2.71
197110,-6.23,-6.53,-6.72
197111,-4.52,-4.87,-5.48
197112,12.41,12.47,12.12
197201,14.22,15.62,16.52
197202,4.2,4.53,5.29
197203,-0.47,-0.37,0.33
197204,0.98,0.93,0.87
197205,-2.67,-2.79,-2.53
197206,-4.12,-4.36,-4.64
197207,-2.35,-2.46,-2.93
197208,2.19,2.46,1.89
197209,-3.28,-3.39,-3.39
197210,-1.95,-1.85,-2.03
197211,5.88,5.86,6.05
197212,-2.87,-2.98,-3.33
197301,-1.72,-1.26,-1.32
197302,-6.09,-5.75,-5.95
197303,-1.32,-1.03,-0.04
197304,-5.09,-4.94,-5.23
197305,-8.07,-8.9,-8.82
197306,-2.22,-1.92,-1.42
197307,9.76,9.75,9.77
197308,-4.11,-3.96,-3.22
197309,6.75,6.63,6.31
197310,1.18,1.31,2.12
197311,-16.7,-17.21,-16.76
197312,-4.32,-4.92,-5.02
197401,18.14,20,21.48
197402,1.81,2.14,1.76
197403,2.07,2.55,3.24
197404,-3.71,-3.35,-3.47
197405,-6.28,-6.19,-5.88
197406,-1.76,-1.57,-0.7
197407,-3.56,-3.47,-3.07
197408,-7.07,-7.01,-6.69
197409,-7.35,-7.67,-8.14
197410,7.63,8.03,8.3
197411,-6.26,-6.52,-7.01
197412,-9.66,-10.28,-11.42
197501,35.63,37.15,40.73
197502,4.98,5.19,6.67
197503,10.67,11.32,11.97
197504,2.5,2.32,1.82
197505,7.16,7.26,6.97
197506,8.83,8.42,8.45
197507,0.83,0.9,1.69
197508,-6.17,-6.48,-7.15
197509,-3.52,-3.78,-4.46
197510,0.87,0.49,-0.51
197511,2.7,2.67,2.96
197512,-0.38,-0.42,-0.47
197601,25.1,25.8,27.23
197602,18.51,20.17,23.9
197603,2.23,2.41,2.25
197604,-1.01,-1.09,-1.62
197605,-3.59,-4.14,-4.6
197606,2.39,1.87,1.66
197607,0.6,0.8,0.33
197608,-1.73,-1.84,-2.56
197609,1.25,0.84,0.67
197610,-2.47,-2.48,-2.96
197611,2.41,2.2,1.64
197612,11.11,11,11.88
197701,5.4,6.1,7.36
197702,0.99,1.14,0.98
197703,1.32,1.4,1.09
197704,2.52,2.17,2.06
197705,0.98,1.1,1.09
197706,5.81,5.85,5.95
197707,1.65,2.07,2.62
197708,-1.23,-1.27,-1.53
197709,1.08,1.16,1.27
197710,-1.84,-1.89,-1.71
197711,7.59,7.93,7.22
197712,2.1,2.06,2.27
197801,0.72,0.97,1.59
197802,3.34,3.44,3.8
197803,7.4,7.82,8.23
197804,8.06,8.46,8.53
197805,7.99,8.25,9.04
197806,1.22,1.57,2.21
197807,4.87,4.83,4.57
197808,9.94,10.72,11.33
197809,1.32,1.83,2.46
197810,-18.42,-19.3,-20.13
197811,3.35,3.31,3.1
197812,0.31,-0.11,-1.06
197901,11.18,11.93,13.62
197902,-1.48,-1.2,-0.99
197903,7.66,7.86,8.02
197904,3.22,3.35,3.83
197905,-0.49,-0.44,-0.5
197906,4.8,4.85,5.14
197907,2.51,2.59,2.52
197908,7.01,7.22,7.26
197909,-0.48,-0.47,-0.47
197910,-9.65,-9.7,-9.82
197911,4.62,4.47,3.87
197912,5.17,5.53,5.42
198001,9.88,11.36,12.09
198002,-1.48,-1.17,-1.14
198003,-15.14,-15.75,-16.36
198004,4.55,3.96,2.83
198005,7.04,7.2,6.69
198006,3.99,3.83,3.34
198007,7.22,7.54,7.97
198008,5.27,5.35,5.94
198009,3.33,4.01,4.2
198010,2.6,2.33,2.76
198011,2.07,1.98,2.17
198012,-2.2,-2.53,-3.01
198101,3.34,3.78,3.88
198102,1.86,1.98,2.31
198103,8.03,7.81,8.42
198104,4.03,4.61,4.24
198105,2.86,3.08,3.74
198106,1.86,1.87,1.69
198107,-1.33,-1.54,-1.95
198108,-4.77,-4.72,-5.14
198109,-5.87,-6.09,-6.58
